interaction_id,user_id,content_id,interaction_timestamp,interaction_type,source
1,2236,214,24-03-2024 10:38,Playback_Start,Watchlist
2,187,894,18-06-2023 20:21,Search_Result_Click,Search
3,579,1125,28-02-2024 08:51,Homepage_Click,Homepage
4,676,655,23-01-2024 05:28,View,Direct_Navigation
5,410,1177,21-08-2023 07:23,Recommendation_Click,Recommendation
6,647,33,03-11-2023 15:45,Search_Result_Click,Search
7,735,1366,23-06-2023 08:40,Recommendation_Click,Recommendation
8,1163,622,02-01-2024 16:56,Playback_Start,Watchlist
9,2836,193,04-06-2023 16:51,Homepage_Click,Homepage
10,1845,617,17-07-2023 19:12,View,Direct_Navigation
11,155,901,01-01-2024 20:07,View,Recommendation
12,361,951,16-11-2023 11:58,View,Watchlist
13,19,836,16-08-2023 09:36,Add_To_Watchlist,Homepage
14,392,941,30-01-2024 05:41,Playback_Start,Direct_Navigation
15,2079,354,18-03-2024 21:02,View,Watchlist
16,1133,95,15-03-2024 09:05,Homepage_Click,Homepage
17,1944,751,07-01-2024 12:20,Add_To_Watchlist,Homepage
18,222,971,20-06-2023 02:12,Homepage_Click,Homepage
19,1370,936,24-03-2023 14:20,View,Direct_Navigation
20,428,1104,08-08-2023 20:25,View,Direct_Navigation
21,120,729,15-01-2024 10:41,Playback_Start,Homepage
22,2955,665,23-12-2023 17:17,Recommendation_Click,Recommendation
23,2773,1327,11-08-2023 12:09,Homepage_Click,Homepage
24,933,159,27-10-2023 01:57,Playback_Start,Recommendation
25,1539,1320,23-05-2023 02:10,Homepage_Click,Homepage
26,223,1319,15-09-2023 04:06,Add_To_Watchlist,Homepage
27,1864,295,28-08-2023 18:43,Search_Result_Click,Search
28,796,955,27-03-2024 19:03,View,Unknown
29,522,61,31-12-2023 14:17,Recommendation_Click,Recommendation
30,456,1265,18-02-2023 21:09,Search_Result_Click,Search
31,1408,354,12-02-2024 21:10,Homepage_Click,Homepage
32,2614,1418,22-03-2024 13:19,View,Direct_Navigation
33,2265,1272,20-07-2023 22:38,Playback_Start,Homepage
34,2004,1283,02-10-2023 03:53,Homepage_Click,Homepage
35,1896,410,20-03-2024 07:10,View,Recommendation
36,1011,384,09-12-2023 11:11,Search_Result_Click,Search
37,2424,1410,06-02-2024 23:37,Playback_Start,Direct_Navigation
38,1712,1468,28-05-2023 05:43,Homepage_Click,Homepage
39,2066,66,20-12-2023 08:07,Search_Result_Click,Search
40,2854,1221,25-08-2023 11:39,Search_Result_Click,Search
41,2288,1120,02-03-2024 19:19,Recommendation_Click,Recommendation
42,893,208,06-11-2023 18:19,View,Homepage
43,372,33,17-09-2023 14:30,Recommendation_Click,Recommendation
44,1882,1278,27-10-2023 19:22,Recommendation_Click,Recommendation
45,1864,700,29-12-2023 17:30,View,Homepage
46,758,1176,25-03-2024 11:59,Search_Result_Click,Search
47,2595,5,24-08-2023 18:00,Recommendation_Click,Recommendation
48,2830,509,06-08-2023 21:41,Homepage_Click,Homepage
49,1106,1038,20-02-2024 19:57,Recommendation_Click,Recommendation
50,849,1170,08-09-2023 20:16,Playback_Start,Homepage
51,225,771,15-01-2024 22:01,View,Direct_Navigation
52,212,182,24-03-2024 18:06,View,Search
53,1498,551,22-01-2024 00:32,View,Recommendation
54,2297,1060,27-08-2023 13:00,Add_To_Watchlist,Homepage
55,978,802,27-02-2024 08:36,View,Recommendation
56,2377,1295,12-03-2023 00:05,View,Recommendation
57,924,488,16-02-2024 14:29,View,Direct_Navigation
58,1733,406,06-03-2024 07:42,Homepage_Click,Homepage
59,1992,755,14-02-2024 21:56,View,Watchlist
60,2179,1012,02-11-2023 18:21,Search_Result_Click,Search
61,2544,551,10-07-2023 01:14,View,Recommendation
62,269,308,14-07-2023 15:09,View,Direct_Navigation
