search_id,user_id,search_timestamp,search_term
1,592,29-11-2023 15:16,full match Hamilton 2024
2,1047,24-02-2024 15:21,MMA
3,774,28-06-2023 01:27,interview Grand Prix
4,1698,02-02-2023 18:07,highlights Super Bowl
5,1049,16-06-2023 03:33,Brady
6,1087,21-08-2023 02:31,full match Brady
7,2700,14-09-2023 03:19,replay World Cup
8,2279,05-03-2023 05:47,replay Premier League 2023
9,1411,01-04-2023 13:53,full match Hart
10,443,17-01-2024 12:38,documentary Football
11,2165,03-04-2023 20:04,replay Darts 2024
12,1753,17-11-2023 01:36,full match Boxing
13,44,19-03-2023 03:44,Verstappen
14,399,28-10-2023 00:35,replay Grand Prix
15,1208,13-08-2023 11:29,documentary F1
16,2403,21-07-2023 16:39,replay World Cup
17,1316,09-07-2023 03:12,highlights MMA 2024
18,946,06-08-2023 05:12,interview Mayweather
19,36,10-09-2023 00:06,full match Champions League
20,54,08-12-2023 16:19,replay Joshua
21,2198,08-01-2024 20:55,highlights Mayweather
22,1235,20-06-2023 01:53,highlights Mayweather
23,2566,25-02-2024 13:36,full match Hamilton
24,23,23-03-2024 15:40,full match Joshua
25,21,14-09-2023 01:43,Verstappen 2024
26,1425,23-04-2023 00:28,full match Briemer 2024
27,837,07-07-2023 08:38,Super Bowl
28,1036,28-02-2024 15:50,documentary World Cup 2024
29,579,29-08-2023 06:26,Premier League
30,2680,21-12-2023 05:06,East Jessicaborough
31,1354,06-10-2023 12:44,documentary Grand Prix
32,1462,21-11-2023 05:38,highlights Stendal
33,1227,24-08-2023 07:52,replay Mayweather
34,1979,20-12-2023 02:41,replay Gardner
35,1428,03-02-2024 22:29,full match Premier League
36,117,13-01-2023 07:36,Mahomes 2024
37,387,28-02-2023 14:04,full match Super Bowl
38,732,13-09-2023 07:15,F1 2023
39,604,02-02-2023 02:38,highlights NFL
40,1782,02-02-2023 07:55,Premier League
41,187,09-01-2023 16:29,F1
42,1439,24-09-2023 05:01,replay Mayweather
43,351,30-11-2023 20:12,Football 2024
44,260,06-12-2023 01:30,interview Premier League
45,1693,12-03-2024 19:11,documentary Rivera
46,924,18-01-2024 00:22,full match Football
47,2630,15-10-2023 19:35,full match Brady
48,2875,18-01-2024 20:45,Champions League
49,2453,16-02-2024 00:42,documentary Brady
50,1671,03-02-2024 11:20,full match Premier League
51,2187,13-08-2023 02:21,replay Hamilton
52,1265,22-02-2024 21:58,full match Smith
53,344,03-01-2024 18:29,Tennis 2024
54,2893,01-01-2023 08:20,Darts
