interaction_id,user_id,content_id,interaction_timestamp,interaction_type,source
1,2236,214,2024-03-24 10:38:18,Playback_Start,Watchlist
2,187,894,2023-06-18 20:21:08,Search_Result_Click,Search
3,579,1125,2024-02-28 08:51:30,Homepage_Click,Homepage
4,676,655,2024-01-23 05:28:33,View,Direct_Navigation
5,410,1177,2023-08-21 07:23:20,Recommendation_Click,Recommendation
6,647,33,2023-11-03 15:45:49,Search_Result_Click,Search
7,735,1366,2023-06-23 08:40:40,Recommendation_Click,Recommendation
8,1163,622,2024-01-02 16:56:42,Playback_Start,Watchlist
9,2836,193,2023-06-04 16:51:21,Homepage_Click,Homepage
10,1845,617,2023-07-17 19:12:56,View,Direct_Navigation
11,155,901,2024-01-01 20:07:36,View,Recommendation
12,361,951,2023-11-16 11:58:33,View,Watchlist
13,19,836,2023-08-16 09:36:13,Add_To_Watchlist,Homepage
14,392,941,2024-01-30 05:41:32,Playback_Start,Direct_Navigation
15,2079,354,2024-03-18 21:02:54,View,Watchlist
16,1133,95,2024-03-15 09:05:45,Homepage_Click,Homepage
17,1944,751,2024-01-07 12:20:02,Add_To_Watchlist,Homepage
18,222,971,2023-06-20 02:12:14,Homepage_Click,Homepage
19,1370,936,2023-03-24 14:20:25,View,Direct_Navigation
20,428,1104,2023-08-08 20:25:24,View,Direct_Navigation
21,120,729,2024-01-15 10:41:58,Playback_Start,Homepage
22,2955,665,2023-12-23 17:17:25,Recommendation_Click,Recommendation
23,2773,1327,2023-08-11 12:09:23,Homepage_Click,Homepage
24,933,159,2023-10-27 01:57:12,Playback_Start,Recommendation
25,1539,1320,2023-05-23 02:10:27,Homepage_Click,Homepage
26,223,1319,2023-09-15 04:06:55,Add_To_Watchlist,Homepage
27,1864,295,2023-08-28 18:43:59,Search_Result_Click,Search
28,796,955,2024-03-27 19:03:26,View,Unknown
29,522,61,2023-12-31 14:17:35,Recommendation_Click,Recommendation
30,456,1265,2023-02-18 21:09:36,Search_Result_Click,Search
31,1408,354,2024-02-12 21:10:33,Homepage_Click,Homepage
32,2614,1418,2024-03-22 13:19:25,View,Direct_Navigation
33,2265,1272,2023-07-20 22:38:10,Playback_Start,Homepage
34,2004,1283,2023-10-02 03:53:41,Homepage_Click,Homepage
35,1896,410,2024-03-20 07:10:50,View,Recommendation
36,1011,384,2023-12-09 11:11:08,Search_Result_Click,Search
37,2424,1410,2024-02-06 23:37:08,Playback_Start,Direct_Navigation
38,1712,1468,2023-05-28 05:43:07,Homepage_Click,Homepage
39,2066,66,2023-12-20 08:07:15,Search_Result_Click,Search
40,2854,1221,2023-08-25 11:39:26,Search_Result_Click,Search
41,2288,1120,2024-03-02 19:19:12,Recommendation_Click,Recommendation
42,893,208,2023-11-06 18:19:13,View,Homepage
43,372,33,2023-09-17 14:30:32,Recommendation_Click,Recommendation
44,1882,1278,2023-10-27 19:22:27,Recommendation_Click,Recommendation
45,1864,700,2023-12-29 17:30:58,View,Homepage
46,758,1176,2024-03-25 11:59:48,Search_Result_Click,Search
47,2595,5,2023-08-24 18:00:37,Recommendation_Click,Recommendation
48,2830,509,2023-08-06 21:41:41,Homepage_Click,Homepage
49,1106,1038,2024-02-20 19:57:33,Recommendation_Click,Recommendation
50,849,1170,2023-09-08 20:16:45,Playback_Start,Homepage
51,225,771,2024-01-15 22:01:43,View,Direct_Navigation
52,212,182,2024-03-24 18:06:07,View,Search
53,1498,551,2024-01-22 00:32:31,View,Recommendation
54,2297,1060,2023-08-27 13:00:45,Add_To_Watchlist,Homepage
55,978,802,2024-02-27 08:36:46,View,Recommendation
56,2377,1295,2023-03-12 00:05:44,View,Recommendation
57,924,488,2024-02-16 14:29:57,View,Direct_Navigation
58,1733,406,2024-03-06 07:42:50,Homepage_Click,Homepage
59,1992,755,2024-02-14 21:56:33,View,Watchlist
60,2179,1012,2023-11-02 18:21:45,Search_Result_Click,Search
61,2544,551,2023-07-10 01:14:36,View,Recommendation
62,269,308,2023-07-14 15:09:27,View,Direct_Navigation
63,1601,1327,2023-10-25 08:26:58,Add_To_Watchlist,Homepage
64,448,270,2023-09-18 19:22:13,Homepage_Click,Homepage
65,617,1298,2024-03-13 06:41:00,View,Search
66,1201,623,2023-11-25 00:00:36,Add_To_Watchlist,Recommendation
67,1942,525,2024-02-04 23:59:50,View,Search
68,1195,308,2024-01-28 20:37:22,Playback_Start,Homepage
69,2129,971,2023-06-27 11:51:55,Search_Result_Click,Search
70,2647,1169,2023-10-03 23:37:25,View,Search
71,2172,1246,2024-03-18 04:20:59,Search_Result_Click,Search
72,541,1327,2023-08-05 15:37:06,View,Search
73,929,727,2023-07-19 05:36:16,Homepage_Click,Unknown
74,194,234,2024-03-26 02:00:02,Add_To_Watchlist,Homepage
75,2534,1366,2024-03-03 22:43:36,Recommendation_Click,Recommendation
76,719,1245,2023-10-01 12:09:12,View,Recommendation
77,629,260,2023-11-06 23:39:49,Add_To_Watchlist,Homepage
78,2354,193,2024-03-29 15:02:27,Homepage_Click,Homepage
79,2304,1057,2024-01-09 04:19:17,Add_To_Watchlist,Recommendation
80,606,559,2024-02-02 13:15:08,Search_Result_Click,Search
81,1236,190,2024-03-11 16:46:39,Add_To_Watchlist,Homepage
82,596,1410,2023-06-23 05:38:13,View,Direct_Navigation
83,2238,1459,2023-08-09 07:14:41,View,Search
84,1942,1325,2024-01-20 14:28:34,Homepage_Click,Unknown
85,2350,1002,2023-07-24 18:31:55,Playback_Start,Watchlist
86,1811,514,2024-01-20 19:01:44,Homepage_Click,Homepage
87,165,215,2023-04-18 09:11:43,Recommendation_Click,Recommendation
88,1646,936,2023-08-31 20:48:39,Homepage_Click,Homepage
89,1337,99,2023-12-22 12:25:32,Recommendation_Click,Recommendation
90,910,1165,2024-02-25 19:45:50,View,Watchlist
91,343,798,2023-09-10 17:12:23,View,Search
92,358,1459,2023-06-06 08:31:36,Search_Result_Click,Search
93,2471,919,2023-11-07 19:25:38,Playback_Start,Direct_Navigation
94,1479,598,2024-03-05 05:06:11,Recommendation_Click,Recommendation
95,1582,559,2023-07-03 16:05:41,Homepage_Click,Homepage
96,1826,1298,2023-11-22 01:12:15,View,Homepage
97,1820,1108,2023-07-14 09:54:06,Search_Result_Click,Search
98,671,1197,2023-07-20 20:56:28,View,Unknown
99,1697,215,2024-02-20 16:31:22,Recommendation_Click,Recommendation
