search_id,user_id,search_timestamp,search_term
1,592,2023-11-29 15:16:04,full match Hamilton 2024
2,1047,2024-02-24 15:21:34,MMA
3,774,2023-06-28 01:27:36,interview Grand Prix
4,1698,2023-02-02 18:07:21,highlights Super Bowl
5,1049,2023-06-16 03:33:30,Brady
6,1087,2023-08-21 02:31:05,full match Brady
7,2700,2023-09-14 03:19:24,replay World Cup
8,2279,2023-03-05 05:47:48,replay Premier League 2023
9,1411,2023-04-01 13:53:33,full match Hart
10,443,2024-01-17 12:38:48,documentary Football
11,2165,2023-04-03 20:04:33,replay Darts 2024
12,1753,2023-11-17 01:36:02,full match Boxing
13,44,2023-03-19 03:44:12,Verstappen
14,399,2023-10-28 00:35:09,replay Grand Prix
15,1208,2023-08-13 11:29:24,documentary F1
16,2403,2023-07-21 16:39:13,replay World Cup
17,1316,2023-07-09 03:12:20,highlights MMA 2024
18,946,2023-08-06 05:12:41,interview Mayweather
19,36,2023-09-10 00:06:30,full match Champions League
20,54,2023-12-08 16:19:41,replay Joshua
21,2198,2024-01-08 20:55:14,highlights Mayweather
22,1235,2023-06-20 01:53:30,highlights Mayweather
23,2566,2024-02-25 13:36:40,full match Hamilton
24,23,2024-03-23 15:40:52,full match Joshua
25,21,2023-09-14 01:43:10,Verstappen 2024
26,1425,2023-04-23 00:28:22,full match Briemer 2024
27,837,2023-07-07 08:38:14,Super Bowl
28,1036,2024-02-28 15:50:36,documentary World Cup 2024
29,579,2023-08-29 06:26:50,Premier League
30,2680,2023-12-21 05:06:57,East Jessicaborough
31,1354,2023-10-06 12:44:30,documentary Grand Prix
32,1462,2023-11-21 05:38:11,highlights Stendal
33,1227,2023-08-24 07:52:02,replay Mayweather
34,1979,2023-12-20 02:41:19,replay Gardner
35,1428,2024-02-03 22:29:39,full match Premier League
36,117,2023-01-13 07:36:17,Mahomes 2024
37,387,2023-02-28 14:04:41,full match Super Bowl
38,732,2023-09-13 07:15:16,F1 2023
39,604,2023-02-02 02:38:45,highlights NFL
40,1782,2023-02-02 07:55:04,Premier League
41,187,2023-01-09 16:29:22,F1
42,1439,2023-09-24 05:01:22,replay Mayweather
43,351,2023-11-30 20:12:21,Football 2024
44,260,2023-12-06 01:30:00,interview Premier League
45,1693,2024-03-12 19:11:00,documentary Rivera
46,924,2024-01-18 00:22:38,full match Football
